bike_name,Price,Rating,Engine,Mileage,Max_Power,Fuel_Capacity,Top_Speed,Tyre_Type,Kerb_Weight,Max_Torque
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Royal Enfield Continental GT 650,353105,4.3,647 CC,27 Kmpl,47.4 PS,12.5 Liters,170 kmph,Tube,214 Kg,52.3 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Hero Splendor Plus,74902,4,97 CC,70 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,112 Kg,8.05 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Classic 350,182658,4.3,349 CC,37.77 Kmpl,20.21 PS,13 Liters,120 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Royal Enfield Bullet 350,162025,4.3,349 CC,37 Kmpl,20.21 PS,13 Liters,110 kmph,Tube,195 Kg,27 Nm
Honda SP 125,87878,4.4,123 CC,63 Kmpl,10.87 PS,11 Liters,100 kmph,Tubeless,117 Kg,10.9 Nm
Honda SP 125,87878,4.4,123 CC,63 Kmpl,10.87 PS,11 Liters,100 kmph,Tubeless,117 Kg,10.9 Nm
